"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4","Vor1","Vor2","Vor3","Vor4","Vcc1","Vcc2","Vcc3","Vcc4","Vml1","Vml2","Vml3","Vml4","Vsp1","Vsp2","Vsp3","Vsp4"
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000001,0.967880765552809,10.0452174287935,2.0150346064427,-0.00683558454605904,1.11353077393086,9.70544892687742,1.94703802475466,0.0205546619808682,1.00650470095455,9.98718663810907,2.05215146931104,0.0541118760144514,1.08472812559157,9.8042956449747,1.96144577392518,0.0220961049047975,0.0363551662156632,0.0520104796124685,0.0259954419572388,0.00790396071508244,0.0788239683932836,0.180822263144948,0.0644281268006731,0.0177174937292913,0.048071864311896,0.0724082212555207,0.0395051384624665,0.0142314009839587,0.0781448851765975,0.177670958281196,0.0642354138967699,0.0176984169641943
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000001,0.967880765552809,10.0452174287935,2.0150346064427,-0.00683558454605904,1.11353077393086,9.70544892687742,1.94703802475466,0.0205546619808682,2.11362587118145,7.90292642450394,0.855946287825142,0.280660049414349,1.11021197305177,9.69429434343987,1.95458464205508,0.0205465878471463,0.0363551662156632,0.0520104796124685,0.0259954419572388,0.00790396071508244,0.0788239683932836,0.180822263144948,0.0644281268006731,0.0177174937292913,0.0372945421246092,0.0510618030036291,0.0313394366620047,0.0116755490817486,0.0783419541843315,0.178980838584325,0.0642425070496728,0.0177068650446212
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000001,0.967880765552809,10.0452174287935,2.0150346064427,-0.00683558454605904,1.11353077393086,9.70544892687742,1.94703802475466,0.0205546619808682,1.00650470095455,9.98718663810907,2.05215146931104,0.0541118760144514,1.08494815858917,9.80406520603948,1.96072296341782,0.022099862777825,0.0363551662156632,0.0520104796124685,0.0259954419572388,0.00790396071508244,0.0788239683932836,0.180822263144948,0.0644281268006731,0.0177174937292913,0.048071864311896,0.0724082212555207,0.0395051384624665,0.0142314009839587,0.0781735110111478,0.177781892994978,0.0642514204422949,0.0176997847386329
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000001,0.967880765552809,10.0452174287935,2.0150346064427,-0.00683558454605904,1.11353077393086,9.70544892687742,1.94703802475466,0.0205546619808682,2.11362587118145,7.90292642450394,0.855946287825142,0.280660049414349,1.1101375908524,9.69393815630012,1.95586176882543,0.0204538688590246,0.0363551662156632,0.0520104796124685,0.0259954419572388,0.00790396071508244,0.0788239683932836,0.180822263144948,0.0644281268006731,0.0177174937292913,0.0372945421246092,0.0510618030036291,0.0313394366620047,0.0116755490817486,0.0783441416343795,0.179000584124952,0.0642402470683295,0.0177071632495653
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000002,0.955646908241544,10.0702475195767,2.04679290711357,-0.00642023154166106,0.903019648526204,10.1412502055041,2.12449349716909,-0.0222320085283742,0.978826894794447,10.0018881876513,2.00095541462649,-0.00282384682534602,0.897878447334703,10.1545941976356,2.12694002268326,-0.0211986288313916,0.0358316681742944,0.0519499112604054,0.0254390197985856,0.00785088935822095,0.0780163174479359,0.182937366287515,0.0645822836723342,0.0182337175405264,0.0478599275161142,0.0727005759098471,0.0399201859331801,0.0147454049144251,0.0775804405007296,0.180966968042698,0.0644558808915059,0.0182250067755121
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000002,0.955646908241544,10.0702475195767,2.04679290711357,-0.00642023154166106,0.903019648526204,10.1412502055041,2.12449349716909,-0.0222320085283742,1.92100530114594,8.24458230475172,0.958915610690166,0.235987562093097,0.910938915891079,10.0952458633576,2.12827041286285,-0.0210586729243061,0.0358316681742944,0.0519499112604054,0.0254390197985856,0.00785088935822095,0.0780163174479359,0.182937366287515,0.0645822836723342,0.0182337175405264,0.0378573768155055,0.0527149798954078,0.0324894674440993,0.0122985630264123,0.0776966297404056,0.181622149188613,0.0644579069086475,0.0182296028578843
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000002,0.955646908241544,10.0702475195767,2.04679290711357,-0.00642023154166106,0.903019648526204,10.1412502055041,2.12449349716909,-0.0222320085283742,0.978826894794447,10.0018881876513,2.00095541462649,-0.00282384682534602,0.898993403503698,10.1517748446357,2.12734001665884,-0.0212637520018673,0.0358316681742944,0.0519499112604054,0.0254390197985856,0.00785088935822095,0.0780163174479359,0.182937366287515,0.0645822836723342,0.0182337175405264,0.0478599275161142,0.0727005759098471,0.0399201859331801,0.0147454049144251,0.0775970351377781,0.181024974383753,0.0644621116869531,0.0182254835402773
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000002,0.955646908241544,10.0702475195767,2.04679290711357,-0.00642023154166106,0.903019648526204,10.1412502055041,2.12449349716909,-0.0222320085283742,1.92100530114594,8.24458230475172,0.958915610690166,0.235987562093097,0.912937483620773,10.0894838959128,2.12768016583593,-0.0210522532866761,0.0358316681742944,0.0519499112604054,0.0254390197985856,0.00785088935822095,0.0780163174479359,0.182937366287515,0.0645822836723342,0.0182337175405264,0.0378573768155055,0.0527149798954078,0.0324894674440993,0.0122985630264123,0.077699472732847,0.181630121190692,0.0644572373030136,0.0182296139019751
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000003,1.02485728376081,9.97274863161398,1.98126827272519,-0.00964834230535834,1.02405013738928,9.86713164811348,2.00913020677962,-0.0124963024856179,0.9335126727113,10.0636106977395,2.08791881258537,-0.0124687141113403,1.01362511992052,9.90098646056861,2.01504536143399,-0.0120313841941455,0.0358566633268651,0.0509464150087287,0.0258477798884285,0.00787310111009652,0.0738271622590251,0.16942829224388,0.0624845114486788,0.0178402365241448,0.0467085604346817,0.0706364808931325,0.0398406977999293,0.0146064493570502,0.0734611773896814,0.167599611846704,0.062369635597197,0.0178185044037247
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000003,1.02485728376081,9.97274863161398,1.98126827272519,-0.00964834230535834,1.02405013738928,9.86713164811348,2.00913020677962,-0.0124963024856179,1.9627856099979,8.17338192747463,0.950157133476902,0.219283062834325,1.02430008882254,9.84311529145652,2.0160321059054,-0.0127173473203927,0.0358566633268651,0.0509464150087287,0.0258477798884285,0.00787310111009652,0.0738271622590251,0.16942829224388,0.0624845114486788,0.0178402365241448,0.0377378659116508,0.0521551491963506,0.0330901561863908,0.0125855666319535,0.0735568622121943,0.168115461203452,0.0623913041709611,0.0178345174390532
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000003,1.02485728376081,9.97274863161398,1.98126827272519,-0.00964834230535834,1.02405013738928,9.86713164811348,2.00913020677962,-0.0124963024856179,0.9335126727113,10.0636106977395,2.08791881258537,-0.0124687141113403,1.01422169443078,9.90033055691017,2.01424217750332,-0.0120598508967475,0.0358566633268651,0.0509464150087287,0.0258477798884285,0.00787310111009652,0.0738271622590251,0.16942829224388,0.0624845114486788,0.0178402365241448,0.0467085604346817,0.0706364808931325,0.0398406977999293,0.0146064493570502,0.0734800742000437,0.167678578606666,0.0623805304620972,0.0178197416312289
