"mx","mc","my","Seff1","Seff2","Seff3","Time"
20,10,2,0.481411239288133,5.72752549817442,53.3717661381915,0.373937129974365
30,10,2,0.790295967444669,4.48384534887721,53.7181085194203,0.397955894470215
40,10,2,-1.33292201883676,3.29548583286372,54.8949069926006,0.498185873031616
50,10,2,-2.85281633215844,2.41556579096018,55.062450790321,0.52790904045105
60,10,2,-3.80763769513206,2.24382375208812,55.6462420903231,0.635702848434448
70,10,2,-4.83915089089001,1.77738489787967,55.5737159816684,0.738665103912354
80,10,2,-5.68274709148625,1.4569775169103,55.982485219313,0.857483863830566
90,10,2,-6.41136284539117,1.15203477718543,56.2343327324218,1.00440192222595
100,10,2,-7.58417135313602,0.907518608232619,56.5921303332796,1.41855883598328
110,10,2,-8.34353571837778,0.828747294335176,56.7290039834642,1.40200901031494
120,10,2,-9.16070540661989,0.632956605628907,56.8774140620854,1.84366011619568
20,15,2,7.18753089281969,7.08179829598593,52.9668582140459,0.331115961074829
30,15,2,-6.04339340130698,3.43818647574478,54.5004639180849,0.377660036087036
40,15,2,-8.30562565904719,2.32575056611871,55.6407208554621,0.470731019973755
50,15,2,-7.61216871301494,2.08176405545152,55.4050713507624,0.562613964080811
60,15,2,-10.0835582907484,1.45287859394273,56.2723030859881,0.696151971817017
70,15,2,-9.86227348912876,1.2904920926272,56.1060438468241,1.43813395500183
80,15,2,-11.0171231291629,0.953708039549499,56.519649721317,2.17927193641663
90,15,2,-11.4846945344401,0.762623865946425,56.9434776262115,2.72665500640869
100,15,2,-12.0121815565322,0.58587097188728,57.0229564892412,3.21361088752747
110,15,2,-12.4878845742774,0.46466630357522,57.1764078672846,3.92361211776733
120,15,2,-13.1917528258709,0.303499394696957,57.3165545091938,4.94754910469055
20,20,2,-2.5498728511635,4.79165607191894,53.7760281677038,0.628525972366333
30,20,2,-8.17563160282922,3.06264200742766,54.6869881808602,0.789348840713501
40,20,2,-8.58020338345783,2.26463359974401,55.4294687914002,0.971581935882568
50,20,2,-7.94034325427118,2.01090043177855,55.6676324547713,1.28719401359558
60,20,2,-11.2534184691209,1.37214264825526,56.1583468836639,1.7004120349884
70,20,2,-11.3628248673402,1.0409990789156,56.5042150687005,2.42526578903198
80,20,2,-12.7123605469738,0.732142314039953,56.6825273739831,3.11474800109863
90,20,2,-12.6690484125288,0.639807260162071,56.9175148547282,3.3593761920929
100,20,2,-12.9067714667963,0.489245952829829,57.1050829739329,3.94766783714294
110,20,2,-13.9181904255605,0.308264265731044,57.2890133168289,5.77589106559753
120,20,2,-14.1821377671026,0.195665859496193,57.3897046569485,7.12366104125977
20,10,3,-4.07139818445295,4.62996710917914,55.3361778003899,0.628198146820068
30,10,3,-3.6522967017532,3.5803369167892,55.335314235001,0.612614154815674
40,10,3,-5.11836442094211,2.58124536695287,56.070194194965,0.841357946395874
50,10,3,-6.07736545032216,1.85788527543299,56.0169855699626,0.856713056564331
60,10,3,-6.92301012197695,1.70349713550228,56.5869995658219,1.28546786308289
70,10,3,-7.62187026844177,1.31061284065399,56.4523331592841,1.49570512771606
80,10,3,-8.25061623087779,1.039716883489,56.7368713553973,2.04249000549316
90,10,3,-8.73156326710327,0.786171252637041,56.9006185841037,2.70536494255066
100,10,3,-9.67978212928657,0.580780419914894,57.1760314101097,3.10647702217102
110,10,3,-10.3527894439679,0.512115703872621,57.3030793958838,3.80106210708618
120,10,3,-10.9872740090155,0.349058878735146,57.3968715732467,5.09588718414307
20,15,3,1.40200803675068,5.73042429608325,55.2903981771739,0.820411920547485
30,15,3,-9.45359387157739,2.71366914332696,55.792814481975,0.944830894470215
