"n","q","x.shape","c.shape","mx","mc","my","seed","Bor.(Intercept)","Bor.W","Bor3","Bcc.(Intercept)","Bcc.W","Bcc3","Bml.(Intercept)","Bml.W","Bml3","Bsp.(Intercept)","Bsp.W","Bsp3"
10000,0.4,1,1,100,15,3,7000001,0.994993755567122,1.99716005707058,0.0748409407350352,0.987447009469121,2.00834058288329,0.0690929125518828,0.981186793999209,2.02343374772011,0.0795696593138231,0.988120416442327,2.00961218235498,0.0689872346578321
10000,0.8,1,1,100,15,3,7000001,0.994993755567122,1.99716005707058,0.0748409407365327,1.01415195075126,1.97763950974566,0.00828569917671939,0.975654855793156,2.01111620019582,0.0563835980185627,1.0114010710058,2.05013185659272,0.00531895099137804
10000,0.4,4,1,100,15,3,7000001,1.00280572322295,1.98571312239613,0.0959926876494607,1.00268934553891,2.00032898259222,0.0966615996787427,1.38602588272422,1.47925977905309,0.101732725738072,0.99960163593059,2.00305935869821,0.096950480300689
10000,0.8,4,1,100,15,3,7000001,1.00280572322295,1.98571312239613,0.09599268764946,0.986092056646191,2.00913494170525,0.0965996147238554,-14.0037869371149,24.7597166397326,-0.0162639146227236,0.911037013506879,2.10918224602559,0.100939967281669
10000,0.4,1,4,100,15,3,7000001,0.982266950558631,2.01987608616602,0.0613294885060286,0.951453997288538,2.10060211648608,0.0842088881196796,0.966784231213268,2.05850760373531,0.0782887016333613,0.951577160835107,2.10207675656047,0.0842795838233051
10000,0.8,1,4,100,15,3,7000001,0.982266950558631,2.01987608616602,0.0613294885060287,0.936151727409687,2.10202069196787,0.0855420639032008,0.967674629450371,2.0558032694926,0.0726747115177136,0.94404898999761,2.03441621942621,0.0841976539867814
10000,0.4,4,4,100,15,3,7000001,0.977650515175271,2.00902389175916,0.0957923628898528,0.970665657495732,2.00993594593444,0.0653882476407308,1.4340394708488,1.33963872490993,0.0894554929885509,0.96801125442014,2.01314076468842,0.0654745485581727
10000,0.8,4,4,100,15,3,7000001,0.977650515175271,2.00902389175916,0.0957923628901783,1.00575292775611,1.94658406252626,0.0561779662032248,3.69252493962896,-1.05015683797673,-3.92831288281956,0.843453086158958,2.24979872440633,0.062230976072317
10000,0.4,1,1,100,15,3,7000002,0.988344366238327,2.00376309402137,0.0815270237121596,0.98344894058417,2.00735627699921,0.0840892452798742,0.984633853295495,2.0002303942851,0.0780306778998524,0.984466345731612,2.00804358951154,0.0840802550056996
10000,0.8,1,1,100,15,3,7000002,0.988344366238327,2.00376309402137,0.081527023712163,0.949271496596015,2.14602944070324,0.0945197803770018,0.988576159106204,1.93554494299888,0.0831918816843766,0.956352709773922,2.11766421956772,0.0939726209999051
10000,0.4,4,1,100,15,3,7000002,1.00588660903362,1.98384757833065,0.0961488567953077,1.02183115999893,1.96511121878351,0.105715957776643,1.40526365446796,1.46282992582638,0.101205070582994,1.01939977513639,1.96720774578439,0.105987139570827
10000,0.8,4,1,100,15,3,7000002,1.00588660903362,1.98384757833065,0.0961488567953533,0.973915931211068,2.04119235107974,0.0609566466219493,-3.94708423218457,8.86258008049263,-7.62933906235409,0.894120809241486,2.14667737674149,0.0649830966407168
