"n","q","specify.x.gamma","specify.c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bcc.B1","Bcc.B2","Bcc.B3","Bml.B1","Bml.B2","Bml.B3","Bsp.B1","Bsp.B2","Bsp.B3"
1000,0.6,1,1,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654759,0.902686128142729,2.23657741115943,0.0352684485140595,0.954735724854496,2.11682028145482,0.00384908825224956,0.903576486188087,2.22849341537142,0.035546321539023
10000,0.6,1,1,100,15,3,9000001,0.977068359122818,2.04858407320565,0.10734636455868,0.967405888299179,2.00301200684543,0.125860773119189,0.965915412283249,2.06107308829701,0.115120962521029,0.966919524350509,2.0107314702952,0.125701259204655
1000,0.8,1,1,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654882,0.934247667864379,2.29114965225885,0.070864658113393,0.993844598342071,1.99490811842997,0.0208156928562175,0.949265884397342,2.10064256329863,0.0716995043373081
10000,0.8,1,1,100,15,3,9000001,0.977068359122818,2.04858407320565,0.107346364558456,0.958100968621365,2.26951553177219,0.121589198020173,0.977719961933155,2.04743563458479,0.131942195980269,0.973207176831488,2.16110858676878,0.118766804971566
1000,0.6,0,1,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654759,0.902686128142729,2.23657741115943,0.0352684485140595,0.984786408615132,1.95190926776879,-0.00150986773300843,0.90535358857075,2.21862567114308,0.03574909024878
10000,0.6,0,1,100,15,3,9000001,0.977068359122818,2.04858407320565,0.10734636455868,0.967405888299179,2.00301200684543,0.125860773119189,0.986738224692574,1.94749452058672,0.109073754116148,0.969449986829943,1.99497523470664,0.125847436067932
1000,0.8,0,1,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654882,0.934247667864379,2.29114965225885,0.070864658113393,1.01191896708639,1.8220895712263,0.017948698840916,0.960817616970773,1.98801656959376,0.0730456054263106
10000,0.8,0,1,100,15,3,9000001,0.977068359122818,2.04858407320565,0.107346364558456,0.958100968621365,2.26951553177219,0.121589198020173,1.00406258495748,1.85348827520592,0.127601152809269,0.984763459512619,2.03648009696015,0.120067732505802
1000,0.6,1,0,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654759,0.902686128142729,2.23657741115943,0.0352684485140595,0.954735724854496,2.11682028145482,0.00384908825224956,0.903133750269443,2.22960069039794,0.0357238387528839
10000,0.6,1,0,100,15,3,9000001,0.977068359122818,2.04858407320565,0.10734636455868,0.967405888299179,2.00301200684543,0.125860773119189,0.965915412283249,2.06107308829701,0.115120962521029,0.967074016221153,2.01266360268499,0.125702413831164
1000,0.8,1,0,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654882,0.934247667864379,2.29114965225885,0.070864658113393,0.993844598342071,1.99490811842997,0.0208156928562175,0.948418135803575,2.10591779496056,0.0720740806533326
10000,0.8,1,0,100,15,3,9000001,0.977068359122818,2.04858407320565,0.107346364558456,0.958100968621365,2.26951553177219,0.121589198020173,0.977719961933155,2.04743563458479,0.131942195980269,0.973351454612282,2.16343391131689,0.118502706429996
1000,0.6,0,0,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654759,0.902686128142729,2.23657741115943,0.0352684485140595,0.984786408615132,1.95190926776879,-0.00150986773300843,0.904858804458558,2.21937875085544,0.0359451403877082
10000,0.6,0,0,100,15,3,9000001,0.977068359122818,2.04858407320565,0.10734636455868,0.967405888299179,2.00301200684543,0.125860773119189,0.986738224692574,1.94749452058672,0.109073754116148,0.969568203919668,1.99622566041138,0.125868134014061
1000,0.8,0,0,100,15,3,9000001,1.0112206143992,1.94694458604741,0.0224328188654882,0.934247667864379,2.29114965225885,0.070864658113393,1.01191896708639,1.8220895712263,0.017948698840916,0.959929618723872,1.99293524104807,0.0734344085398693
10000,0.8,0,0,100,15,3,9000001,0.977068359122818,2.04858407320565,0.107346364558456,0.958100968621365,2.26951553177219,0.121589198020173,1.00406258495748,1.85348827520592,0.127601152809269,0.984836586279075,2.03873782675406,0.11985619083135
1000,0.6,1,1,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570256643,1.17548107116793,1.45012648595487,0.10861762379421,1.0310132688989,1.96119873012135,0.0688865660209775,1.15435747830327,1.56872609679116,0.110963154323679
10000,0.6,1,1,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.03403879017894,1.87395572273278,0.103170031711693,1.03014197684803,1.94727230815958,0.0952560885510618,1.0312722156134,1.89424026685962,0.103204565077932
1000,0.8,1,1,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570230701,0.923441095496802,3.44843655234441,0.128970496916299,1.01403850722655,1.85099498784343,0.0248814453052059,0.910771386674977,3.56274650227266,0.124564577241194
10000,0.8,1,1,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.05207477428412,1.81757574219398,0.109481312422882,1.03010387614905,1.96125747222696,0.107684173890737,1.04352155965079,1.93012674679321,0.109368287016748
1000,0.6,0,1,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570256643,1.17548107116793,1.45012648595487,0.10861762379421,1.03772790020121,1.91918467024574,0.0651722127228234,1.15598934785273,1.55914431657635,0.110749070897408
10000,0.6,0,1,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.03403879017894,1.87395572273278,0.103170031711693,1.0426886980598,1.88049818144363,0.0915939913511735,1.0332039671243,1.88236926071017,0.103235873913968
1000,0.8,0,1,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570230701,0.923441095496802,3.44843655234441,0.128970496916299,0.684928575361695,5.43846546599923,-6.82168818075145,0.913455086559006,3.53106759479347,0.124704667641879
10000,0.8,0,1,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.05207477428412,1.81757574219398,0.109481312422882,1.05121164614966,1.81152531886233,0.104240455631661,1.05310102338172,1.8265934630141,0.109460548365833
1000,0.6,1,0,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570256643,1.17548107116793,1.45012648595487,0.10861762379421,1.0310132688989,1.96119873012135,0.0688865660209775,1.15468564096565,1.57267840087272,0.111333972904396
10000,0.6,1,0,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.03403879017894,1.87395572273278,0.103170031711693,1.03014197684803,1.94727230815958,0.0952560885510618,1.03111984635889,1.89783046712394,0.103213777927634
1000,0.8,1,0,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570230701,0.923441095496802,3.44843655234441,0.128970496916299,1.01403850722655,1.85099498784343,0.0248814453052059,0.903023385427011,3.56053309027313,0.126227425067238
10000,0.8,1,0,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.05207477428412,1.81757574219398,0.109481312422882,1.03010387614905,1.96125747222696,0.107684173890737,1.04408499039322,1.93410724370727,0.109261203973643
1000,0.6,0,0,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570256643,1.17548107116793,1.45012648595487,0.10861762379421,1.03772790020121,1.91918467024574,0.0651722127228234,1.15633403191939,1.56250810767159,0.111093418000793
10000,0.6,0,0,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.03403879017894,1.87395572273278,0.103170031711693,1.0426886980598,1.88049818144363,0.0915939913511735,1.03304293121329,1.88533545321128,0.103250199624248
1000,0.8,0,0,100,15,3,9000002,1.01608573301367,2.01100258445007,0.0947155570230701,0.923441095496802,3.44843655234441,0.128970496916299,0.684928575361695,5.43846546599923,-6.82168818075145,0.906053734691179,3.52537896193544,0.126372422566625
10000,0.8,0,0,100,15,3,9000002,1.01795216353381,1.98433656932878,0.0864042327289187,1.05207477428412,1.81757574219398,0.109481312422882,1.05121164614966,1.81152531886233,0.104240455631661,1.05354460785285,1.83057433670083,0.109374219214108
1000,0.6,1,1,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.06383163150481,1.96871348249745,-0.0218928546773147,1.03714882391845,1.97825705783068,-0.0282301936759381,1.06725902850396,1.9555354963299,-0.0222937425776314
10000,0.6,1,1,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221939,0.973438253425606,1.96661458510986,0.0808447205058714,0.973451293558962,2.02112155709851,0.0885122231902052,0.970304299400539,1.98591520435721,0.0812037215812368
1000,0.8,1,1,100,15,3,9000003,1.03223314962584,1.99141294403573,0.0173664471261772,1.00966426513418,2.20710547956363,-0.0465638638120359,1.01805319350899,2.06458817331,-0.0432436950194864,1.02412836120882,2.09440601820657,-0.0527283665781487
10000,0.8,1,1,100,15,3,9000003,0.971942966933438,2.00902245048804,0.0902062533221567,0.990062744029619,1.88484687230559,0.0935588766834477,0.970646498093491,2.06392223395447,0.0911511699602089,0.974227219382433,2.03801788225109,0.0961528843150011
