"n","q","x.shape","c.shape","mx","mc","seed","Bor1","Bor2","Bcc1","Bcc2","Bml1","Bml2","Bsp1","Bsp2"
10000,0.4,1,1,21,21,1,0.997803511414185,1.97424617023646,0.98429237172125,2.08158140746399,0.991457206160198,1.94202308019618,0.984323291063277,2.09303703752142
10000,0.8,1,1,21,21,1,0.997803511414185,1.97424617023646,0.99961234631357,2.53841246986221,0.96120618709861,1.88910651370392,1.10782473598705,1.86201487059773
10000,0.4,4,1,21,21,1,1.02536418293747,1.90585805329633,1.02457793724834,1.93691815485814,1.13150203055272,1.31989713508744,1.02438594666277,1.94012499792494
10000,0.8,4,1,21,21,1,1.02536418293747,1.90585805329633,0.886379713600287,2.74046918544081,1.14050821107692,1.20624914871384,0.946422937113367,2.26637295951108
10000,0.4,1,4,21,21,1,1.0024490683235,1.99512920307544,1.00369108880107,2.02024101155334,1.01071277845837,1.9396194706799,0.998332835581687,2.09009228559006
10000,0.8,1,4,21,21,1,1.0024490683235,1.99512920307544,0.939562453809236,3.45859827253914,NA,NA,1.06168287554946,-0.0162568420316565
10000,0.4,4,4,21,21,1,1.01182049660674,1.99594199538275,1.01911229817971,1.95874572649408,1.13420696861693,1.28583438156031,1.0203485522734,1.95147244746891
10000,0.8,4,4,21,21,1,1.01182049660674,1.99594199538275,1.0287037532455,1.70879643319144,1.14165658199408,1.16281011704937,1.06064842161847,1.43595413240625
10000,0.4,1,1,31,31,1,0.997803511414185,1.97424617023646,0.98429237172125,2.08158140746399,0.992489693398941,1.97169827754774,0.984246747395145,2.08860451219563
10000,0.8,1,1,31,31,1,0.997803511414185,1.97424617023646,0.99961234631357,2.53841246986221,0.976475881875873,1.95728208243422,1.07220056114086,1.988826155571
10000,0.4,4,1,31,31,1,1.02536418293747,1.90585805329633,1.02457793724834,1.93691815485814,1.13093865022498,1.32703252092745,1.02488148603319,1.93593402425582
10000,0.8,4,1,31,31,1,1.02536418293747,1.90585805329633,0.886379713600287,2.74046918544081,1.1407059078373,1.21523249348361,0.934478343572541,2.36326730980687
10000,0.4,1,4,31,31,1,1.0024490683235,1.99512920307544,1.00369108880107,2.02024101155334,1.00622065335165,1.96720302009233,1.00071011604858,2.06342096443627
10000,0.8,1,4,31,31,1,1.0024490683235,1.99512920307544,0.939562453809236,3.45859827253914,-15.8726018237483,223.14282091183,NA,NA
10000,0.4,4,4,31,31,1,1.01182049660674,1.99594199538275,1.01911229817971,1.95874572649408,1.13242977455724,1.29423808564751,1.02148701242673,1.94445069951376
10000,0.8,4,4,31,31,1,1.01182049660674,1.99594199538275,1.0287037532455,1.70879643319144,1.13746462433529,1.17960771982501,1.05855351184013,1.45542386304355
10000,0.4,1,1,21,21,2,0.997804646136792,2.0646978371354,1.01475651396286,1.94793388141283,1.00384850356726,1.99403979356699,1.01426382604003,1.96749754748693
10000,0.8,1,1,21,21,2,0.997804646136792,2.0646978371354,0.966734460340397,2.86390653937801,0.97669404926175,1.91390402046618,1.05532049710388,1.99766911012712
10000,0.4,4,1,21,21,2,1.03231120270506,1.85437517344552,1.01173595821399,1.91082508625169,1.08485350321147,1.5037513106531,1.01030668901846,1.91623409597614
10000,0.8,4,1,21,21,2,1.03231120270506,1.85437517344552,0.972347900349795,1.9320114072751,1.11451331287896,1.33341681476999,0.964395898026442,1.90873183604799
10000,0.4,1,4,21,21,2,0.978618881363808,2.07748124812255,0.995736167092147,1.89774160884876,0.988128529613172,2.01153361445082,0.987622615620034,2.00165488384269
10000,0.8,1,4,21,21,2,0.978618881363808,2.07748124812255,0.987706885876933,1.93189348318149,0.953930659015563,2.00148135085206,1.02984342153793,1.99800042400915
10000,0.4,4,4,21,21,2,0.976016198186351,2.01998227863759,0.926088107966931,2.34256235255805,1.07269247167333,1.43880577418186,0.926178992864662,2.33785375609786
10000,0.8,4,4,21,21,2,0.976016198186351,2.01998227863759,0.941226873673302,2.13630176548909,1.04870112294545,1.43453652510673,0.985304018172429,1.78119694524845
