"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
8000,0.1,10,1,0.5,1,2,1,1,40,40,5,6000001,0.928388843003921,10.0933478188866,2.02357230602623,0.00511024789210393,0.94943487852401,10.0610350894275,2.0050350037942,0.00654180886103065,0.940128039208697,10.07446976139,2.01382346934289,0.0106999021625748,0.949368073908532,10.0611469907195,2.00508691537439,0.00654286364912768
8000,0.2,10,1,0.5,1,2,1,1,40,40,5,6000001,0.908878895485191,10.1170193406633,2.04596467804487,-0.00202774236497908,0.894885953663612,10.1393863183213,2.05200088979791,-0.00785235565880042,0.902463250113088,10.1377926159122,2.04388635326418,-0.0032736520734992,0.894827968183497,10.139510136151,2.05204520694372,-0.00784560648421545
8000,0.3,10,1,0.5,1,2,1,1,40,40,5,6000001,0.975467754866538,10.0447196711774,1.99715756713427,-0.0103174858406741,0.977016773579292,10.0521127527972,1.99469702899635,-0.00242613415793479,0.97364455198214,10.0759034655207,1.99011355719308,-0.00407566872991816,0.976623225832529,10.0530688201486,1.99489569164294,-0.00232806185235283
8000,0.4,10,1,0.5,1,2,1,1,40,40,5,6000001,0.999791017179175,10.0174013317554,1.97693630946951,-0.00685958511915517,0.936633325235754,10.0844356840005,2.04551287484257,-0.00524273380327197,0.973418936407504,10.0725216145894,1.98715018123668,-0.00911440298939994,0.93713793886385,10.083654194368,2.04500738516471,-0.00541277476505244
8000,0.5,10,1,0.5,1,2,1,1,40,40,5,6000001,1.00913502016183,9.95996007249711,2.01570762941412,-0.00395222678179494,0.988605070157681,9.98637961666725,2.05008785710756,-0.00606930484463849,1.01351131656561,9.97033467185246,1.99782537776664,-0.00306958023413766,0.985716045100398,9.99487974285873,2.05116369983083,-0.00594758117759959
8000,0.6,10,1,0.5,1,2,1,1,40,40,5,6000001,0.979561940622785,10.0242313666926,2.0119773997199,-0.00651769737431206,1.00006879497668,10.0263435674085,2.01367307356557,-0.00962933391354985,1.02921725794111,9.94544264811122,1.98159206016818,0.00696358906235754,0.997786577816422,10.0329680157725,2.01452953247476,-0.0100752808022447
8000,0.7,10,1,0.5,1,2,1,1,40,40,5,6000001,1.00323615218181,9.95221932680313,2.03271673729875,-0.0132065315852497,0.956881543328654,10.1063569199315,2.06651021844456,-0.0156216508694697,1.0082488420196,10.0236155977007,2.00011937975341,-0.0126963609179498,0.957535218478907,10.1071997414996,2.06547873479946,-0.0157791658699143
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,6000001,1.0522346663603,9.91718191868933,1.96091623810469,-0.00201664292994577,0.932492385531138,10.11671145258,2.05370039456398,-0.0073569824346706,1.00219047241811,9.98672671394545,2.00846619924696,-0.0299967946364052,0.932182761510017,10.120613102688,2.05016322284971,-0.00667808011461659
8000,0.1,10,1,0.5,1,2,1,1,40,40,5,6000002,1.01198508874977,10.0395551352719,1.93922093164386,-0.00671765912698394,1.02953937438653,10.0104104636494,1.92947093184759,-0.00875323978576516,1.0142453599908,10.0320639182721,1.94079664417305,-0.00424885558556088,1.02953384550099,10.0104208558025,1.92947956044355,-0.00874830001308887
8000,0.2,10,1,0.5,1,2,1,1,40,40,5,6000002,0.988643479553533,9.99642279502939,2.01070389073278,-0.0091219464773087,0.979199953199333,10.0212765318211,2.01722967673442,-0.00414837996651852,0.987887234609091,9.99750245433956,2.00971516398592,-0.00517900620354818,0.979187840174822,10.0213546993811,2.01721571473828,-0.00417912927786858
8000,0.3,10,1,0.5,1,2,1,1,40,40,5,6000002,1.02080145229078,9.95656569464261,1.98901650673278,-0.0173866308056872,1.03603990657197,9.96081393796047,1.96775103839736,-0.0141422263908514,1.0259436239905,9.96732372390748,1.97897135024798,-0.00519480876532681,1.03554888202055,9.96247581333215,1.96777485999714,-0.0140844108875769
8000,0.4,10,1,0.5,1,2,1,1,40,40,5,6000002,1.04606592128928,9.92450977118451,1.96629572977624,-0.0163195701267351,1.05947478712914,9.88754271318607,1.94725543293547,0.00111300015800541,1.04317031687419,9.91867950926303,1.9783795663333,0.0011059022891282,1.05889073321622,9.88848595962686,1.94760648709149,0.00172338767517643
8000,0.5,10,1,0.5,1,2,1,1,40,40,5,6000002,0.965618651326084,10.0414182224916,2.01018383607366,-0.0121261368204569,1.00086401892094,9.94834577443189,1.98445392777466,-0.0077314376135252,0.948988694106728,10.1282543980337,2.00206689032542,-0.013326457402413,0.996398094408903,9.96166180919659,1.98595064635451,-0.00751029194054182
8000,0.6,10,1,0.5,1,2,1,1,40,40,5,6000002,0.957592349438278,10.0474343524759,2.02070872707065,-0.0157275458276247,0.959812386878024,10.0889106109452,1.99156322508266,-0.0486414205547545,0.957848301130907,10.0735824012941,1.99992549545484,-0.0432936902204476,0.958214599906855,10.0947220545146,1.99200347911106,-0.0477209730000324
8000,0.7,10,1,0.5,1,2,1,1,40,40,5,6000002,0.941426721847736,10.0660850937044,2.03740138469487,-0.0167916486647126,1.00950879421269,9.93910406281707,1.98837327321232,-0.00890006949514085,0.997530805096505,10.0136026882596,1.966803539845,-0.00943064420820389,1.00736260327477,9.94828736757544,1.9887282872421,-0.00882682481107511
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,6000002,0.998421342195241,10.0038790549343,1.98222190728801,-0.00884537725761526,0.995462466883431,9.9733960636197,1.96137982218707,-0.00825476565388598,0.947530988746227,10.061624771733,2.05554146181583,-0.0284375982627955,0.992328839318316,9.98373225696199,1.96370377171243,-0.00885170469862187
8000,0.1,10,1,0.5,1,2,1,1,40,40,5,6000003,1.00248529685187,9.9964105915508,1.96807336350902,0.00352751462441589,1.01045002387416,9.98220951095593,1.96264061414162,-0.00327837873714735,1.00346052212956,9.99446217974927,1.96826321236197,-0.00676382205512376,1.01043446600835,9.98223563377188,1.96265547661742,-0.00327939739547653
8000,0.2,10,1,0.5,1,2,1,1,40,40,5,6000003,1.01777294260832,9.98538743098984,1.97265250243811,0.00681950101000174,1.02293301933336,9.99493508825746,1.95270695301385,-0.000545923009911299,1.017882922057,9.98832372688821,1.96675099304901,0.000267194985977378,1.02290067532933,9.99495422550159,1.95275583448755,-0.000569887590259776
8000,0.3,10,1,0.5,1,2,1,1,40,40,5,6000003,0.968987574280055,10.0316406032612,2.02617588166086,0.0122204126558847,0.95873271676929,10.0510630130081,2.03268128250584,0.00851959413714708,0.958359514228228,10.0750867404481,2.02612632648621,0.0144918714597141,0.95899800578535,10.0507438813545,2.03247027614973,0.00858365988125879
8000,0.4,10,1,0.5,1,2,1,1,40,40,5,6000003,1.00418261381418,10.0041868322063,1.98821396691164,0.0170194651422004,1.02779727458842,9.94503350408851,1.98588025612221,0.0145937078996403,0.984446437757015,10.0478479155535,2.00564637465465,0.0202065313954933,1.02569952035769,9.95080735318356,1.98677363153002,0.0145614116651205
8000,0.5,10,1,0.5,1,2,1,1,40,40,5,6000003,0.978107729434319,10.0165521549253,2.02628682871996,0.0161092166418698,1.08671381387965,9.80907376414418,1.96426183454228,-0.024956398709837,1.01807407979341,9.94317646299085,1.99881429264309,0.0100057282170395,1.08108373240887,9.82404572070229,1.9672742660051,-0.0239883945867252
8000,0.6,10,1,0.5,1,2,1,1,40,40,5,6000003,1.02381400872129,9.97466271740952,1.9794403160182,0.0167732374598473,1.01780349020811,9.9718821675985,1.98758890264209,0.0359545742074085,1.00871670970168,10.0166061382622,1.98350503246333,0.0247680959259107,1.02038391755348,9.96539557516818,1.98668859131325,0.0359200526336035
